pinanol(1),LINALOOL,ISOLINALOOL,PLINOL,TERPINEOL,DMO,BIRAD1,BIRAD2,ISOPLINOL
5.78E-05,3.22E-05,1.89E-06,7.06E-06,2.70E-06,4.58E-07,0,0,0.00E+00
1.42E-04,4.04E-05,2.13E-06,4.61E-06,2.97E-06,2.71E-07,0,0,0.00E+00
2.89E-04,4.72E-05,2.23E-06,3.17E-06,3.31E-06,1.60E-07,0,0,0.00E+00
2.00E-05,4.57E-05,2.95E-06,2.10E-05,4.32E-06,1.67E-06,0,0,0.00E+00
8.59E-05,7.35E-05,5.13E-06,1.48E-05,5.54E-06,1.14E-06,0,0,0.00E+00
1.92E-04,1.01E-04,6.93E-06,1.40E-05,7.03E-06,9.81E-07,0,0,0.00E+00
4.63E-06,4.53E-05,2.95E-06,3.89E-05,5.49E-06,3.35E-06,0,0,0.00E+00
1.34E-05,9.20E-05,5.82E-06,5.84E-05,9.43E-06,5.30E-06,0,0,0.00E+00
6.19E-05,1.82E-04,1.36E-05,6.46E-05,1.53E-05,5.59E-06,0,0,0.00E+00
2.08E-05,4.97E-05,3.28E-06,2.27E-05,4.63E-06,1.89E-06,0,0,0.00E+00
6.38E-05,9.09E-05,6.04E-06,2.40E-05,6.82E-06,1.81E-06,0,0,0.00E+00
1.67E-04,1.39E-04,1.02E-05,2.20E-05,1.00E-05,1.71E-06,0,0,0.00E+00
4.71E-05,4.26E-05,2.85E-06,7.19E-06,2.84E-06,5.33E-07,0,0,0.00E+00
1.21E-04,5.54E-05,3.59E-06,5.09E-06,3.59E-06,2.70E-07,0,0,0.00E+00
2.78E-04,5.03E-05,2.43E-06,2.53E-06,2.63E-06,0.00E+00,0,0,0.00E+00
2.34E-05,5.56E-05,4.08E-06,1.68E-05,3.98E-06,1.51E-06,0,0,0.00E+00
2.08E-04,9.96E-05,6.88E-06,7.87E-06,6.50E-06,4.77E-07,0,0,0.00E+00
7.39E-05,2.42E-05,1.35E-06,2.28E-06,1.71E-06,1.06E-07,0,0,0.00E+00
3.07E-04,2.67E-05,6.83E-07,1.02E-06,1.40E-06,3.51E-07,0,0,0.00E+00
2.62E-05,1.10E-04,8.48E-06,3.07E-05,7.56E-06,2.87E-06,0,0,0.00E+00
1.27E-04,1.68E-04,1.38E-05,1.89E-05,9.89E-06,1.61E-06,0,0,0.00E+00
1.74E-05,4.49E-05,2.88E-06,2.57E-05,4.30E-06,2.13E-06,0,0,0.00E+00
1.95E-04,1.14E-04,7.88E-06,1.33E-05,7.19E-06,1.03E-06,0,0,0.00E+00
6.62E-05,2.38E-05,9.60E-07,3.77E-06,1.54E-06,1.57E-07,0,0,0.00E+00
3.10E-04,2.70E-05,4.45E-07,1.47E-06,1.37E-06,0.00E+00,0,0,0.00E+00
4.58E-05,3.90E-05,2.53E-06,1.11E-05,3.01E-06,8.39E-07,0,0,0.00E+00
2.69E-04,5.66E-05,2.78E-06,3.26E-06,3.22E-06,2.06E-07,0,0,0.00E+00
1.85E-05,9.52E-05,6.54E-06,5.73E-05,8.42E-06,5.24E-06,0,0,0.00E+00
1.11E-04,1.71E-04,1.30E-05,3.65E-05,1.14E-05,3.24E-06,0,0,0.00E+00
1.51E-04,1.28E-04,7.88E-06,3.48E-05,9.61E-06,2.73E-06,0,0,0.00E+00
8.10E-06,3.10E-05,1.37E-06,4.81E-05,4.80E-06,3.79E-06,0,0,0.00E+00
2.16E-05,3.60E-05,1.65E-06,3.15E-05,4.21E-06,2.43E-06,0,0,0.00E+00
2.03E-04,9.67E-05,5.23E-06,1.68E-05,6.37E-06,1.17E-06,0,0,0.00E+00
5.04E-05,3.10E-05,1.47E-06,1.23E-05,2.60E-06,7.75E-07,0,0,0.00E+00
2.87E-04,4.22E-05,1.25E-06,1.89E-06,2.41E-06,0.00E+00,0,0,0.00E+00
